,word,emotion,association
0,abandonment,joy,0
1,abandonment,negative,1
2,abandonment,positive,0
3,abandonment,sadness,1
4,abandonment,surprise,1
5,abandonment,trust,0
6,abate,anger,0
7,abate,anticipation,0
8,abate,disgust,0
9,abate,fear,0
10,abate,joy,0
11,abate,negative,0
12,abate,positive,0
13,abate,sadness,0
14,abate,surprise,0
15,abate,trust,0
16,abatement,anger,0
17,abatement,anticipation,0
18,abatement,disgust,0
19,abatement,fear,0
20,abatement,joy,0
21,abatement,negative,0
22,abatement,positive,0
23,abatement,sadness,0
24,abatement,surprise,0
25,abatement,trust,0
26,abba,anger,0
27,abba,anticipation,0
28,abba,disgust,0
29,abba,fear,0
30,abba,joy,0
31,abba,negative,0
32,abba,positive,1
33,abba,sadness,0
34,abba,surprise,0
35,abba,trust,0
36,abbot,anger,0
37,abbot,anticipation,0
38,abbot,disgust,0
39,abbot,fear,0
40,abbot,joy,0
41,abbot,negative,0
42,abbot,positive,0
43,abbot,sadness,0
44,abbot,surprise,0
45,abbot,trust,1
46,abbreviate,anger,0
47,abbreviate,anticipation,0
48,abbreviate,disgust,0
49,abbreviate,fear,0
50,abbreviate,joy,0
51,abbreviate,negative,0
52,abbreviate,positive,0
53,abbreviate,sadness,0
54,abbreviate,surprise,0
55,abbreviate,trust,0
56,abbreviation,anger,0
57,abbreviation,anticipation,0
58,abbreviation,disgust,0
59,abbreviation,fear,0
60,abbreviation,joy,0
61,abbreviation,negative,0
62,abbreviation,positive,0
63,abbreviation,sadness,0
64,abbreviation,surprise,0
65,abbreviation,trust,0
66,abdomen,anger,0
67,abdomen,anticipation,0
68,abdomen,disgust,0
69,abdomen,fear,0
70,abdomen,joy,0
71,abdomen,negative,0
72,abdomen,positive,0
73,abdomen,sadness,0
74,abdomen,surprise,0
75,abdomen,trust,0
76,abdominal,anger,0
77,abdominal,anticipation,0
78,abdominal,disgust,0
79,abdominal,fear,0
80,abdominal,joy,0
81,abdominal,negative,0
82,abdominal,positive,0
83,abdominal,sadness,0
84,abdominal,surprise,0
85,abdominal,trust,0
86,abduction,anger,0
87,abduction,anticipation,0
88,abduction,disgust,0
89,abduction,fear,1
90,abduction,joy,0
91,abduction,negative,1
92,abduction,positive,0
93,abduction,sadness,1
94,abduction,surprise,1
95,abduction,trust,0
96,aberrant,anger,0
97,aberrant,anticipation,0
98,aberrant,disgust,0
99,aberrant,fear,0
100,aberrant,joy,0
101,aberrant,negative,1
102,aberrant,positive,0
103,aberrant,sadness,0
104,aberrant,surprise,0
105,aberrant,trust,0
106,aberration,anger,0
107,aberration,anticipation,0
108,aberration,disgust,1
109,aberration,fear,0
110,aberration,joy,0
111,aberration,negative,1
112,aberration,positive,0
113,aberration,sadness,0
114,aberration,surprise,0
115,aberration,trust,0
116,abeyance,anger,0
117,abeyance,anticipation,0
118,abeyance,disgust,0
119,abeyance,fear,0
120,abeyance,joy,0
121,abeyance,negative,0
122,abeyance,positive,0
123,abeyance,sadness,0
124,abeyance,surprise,0
125,abeyance,trust,0
126,abhor,anger,1
127,abhor,anticipation,0
128,abhor,disgust,1
129,abhor,fear,1
130,abhor,joy,0
131,abhor,negative,1
132,abhor,positive,0
133,abhor,sadness,0
134,abhor,surprise,0
135,abhor,trust,0
136,abhorrent,anger,1
137,abhorrent,anticipation,0
138,abhorrent,disgust,1
139,abhorrent,fear,1
140,abhorrent,joy,0
141,abhorrent,negative,1
142,abhorrent,positive,0
143,abhorrent,sadness,0
144,abhorrent,surprise,0
145,abhorrent,trust,0
146,abide,anger,0
147,abide,anticipation,0
148,abide,disgust,0
149,abide,fear,0
150,abide,joy,0
151,abide,negative,0
152,abide,positive,0
153,abide,sadness,0
154,abide,surprise,0
155,abide,trust,0
156,ability,anger,0
157,ability,anticipation,0
158,ability,disgust,0
159,ability,fear,0
160,ability,joy,0
161,ability,negative,0
162,ability,positive,1
163,ability,sadness,0
164,ability,surprise,0
165,ability,trust,0
166,abject,anger,0
167,abject,anticipation,0
168,abject,disgust,1
169,abject,fear,0
170,abject,joy,0
171,abject,negative,1
172,abject,positive,0
173,abject,sadness,0
174,abject,surprise,0
175,abject,trust,0
176,ablation,anger,0
177,ablation,anticipation,0
178,ablation,disgust,0
179,ablation,fear,0
180,ablation,joy,0
181,ablation,negative,0
182,ablation,positive,0
183,ablation,sadness,0
184,ablation,surprise,0
185,ablation,trust,0
186,ablaze,anger,0
187,ablaze,anticipation,0
188,ablaze,disgust,0
189,ablaze,fear,0
190,ablaze,joy,0
191,ablaze,negative,0
192,ablaze,positive,0
193,ablaze,sadness,0
194,ablaze,surprise,0
195,ablaze,trust,0
196,abnormal,anger,0
197,abnormal,anticipation,0
