0,['hey\\ud83d\\ude0btoday'],['prepared'],['hot'],['\\ud83d\\udd25game'],['private'],['messages\\ud83d\\udc8c\\ud83e\\udd2d\\ud83e\\udd2b\\ud83d\\udc45\\ud83c\\udf46'],"[""'ll""]",['wait'],['you\\ud83d\\udca6\\ud83d\\ude08\\ud83d\\udc8b\\ud83d\\udd1e\\ud83d\\udc4subscribe'],,,,,,,,,,,,,,
1,['illinois'],['today'],['request'],['vote'],['mail'],['ballot'],['takes'],['minutes'],,,,,,,,,,,,,,,
2,['want'],['grad'],['covid'],['strikes'],['say'],['fam'],['enroll'],['today'],['grad'],['tomorrow'],['\\u270a\\ud83c\\udfff'],"[""''""]",,,,,,,,,,,
3,['coronavirus'],['preparedness'],['response'],['act'],['vote'],['deep'],['concern'],"[""''""]",,,,,,,,,,,,,,,
4,['turned'],['2today'],['i\\u2019m'],['looking'],['glow'],['pictures'],['exactly'],['year'],['apa'],,,,,,,,,,,,,,
5,['class'],['organization'],['\\ud83d\\ude4f\\ud83c\\udffb'],"[""''""]",,,,,,,,,,,,,,,,,,,
6,['illinois'],['today'],['request'],['vote'],['mail'],['ballot'],['takes'],['minutes'],,,,,,,,,,,,,,,
7,['itchy'],['eye'],['today'],['store'],['toure'],['rub'],,,,,,,,,,,,,,,,,
8,['morning'],['getting'],['sweet'],['night'],['today'],"[""''""]",,,,,,,,,,,,,,,,,
9,['toke'],['maggiano\\u2019s'],['n'],['feeling'],['v'],['pretty'],['today'],['\\u2728'],"[""''""]",,,,,,,,,,,,,,
10,['practically'],['performance'],[],['please'],['watch'],['prepare'],['blown'],,,,,,,,,,,,,,,,
11,['best'],['thing'],['say'],['today'],['tomorrow'],['another'],['day'],['hit'],['rock'],['bottom'],,,,,,,,,,,,,
12,['vacation'],['i\\u2019m'],['really'],['trying'],['ignore'],['ed'],['enjoy'],['trip'],['bought'],['donuts'],['everyone'],['today'],,,,,,,,,,,
13,['good'],['government'],['work'],,,,,,,,,,,,,,,,,,,,
14,['soo'],['fuckex'],['today'],['everything'],['died'],['ton'],['rhe'],['time'],['shift'],['supposed'],['tend'],['stayed\\u202'],,,,,,,,,,,
15,['got'],['hbic'],['shi'],['delivered'],['today'],['hopefully'],['nxtftpierce'],['still'],['happen'],['3\\/2so'],['wear'],['th\\u202'],,,,,,,,,,,
16,['v\\u2019s'],['self'],['produced'],['ost'],['drama'],['\\u2018itaewon'],['class\\u201will'],['coming'],['today'],['6pm'],['kst'],['\\n\\nlet\\u2019s'],['trend'],['sweetnightapproa\\u2026'],"[""''""]",,,,,,,,
17,['usually'],['don\\u2019t'],['got'],['time'],['today'],"[""''""]",,,,,,,,,,,,,,,,,
18,['small'],['share'],['available'],['repo'],['facilities'],['used'],['far'],['today'],"[""'s""]",['fed'],['actions'],['intended'],['be\\u202'],,,,,,,,,,
19,['every'],['time'],['opens'],['mouth'],['god'],['chokes'],['praise'],['jesus'],,,,,,,,,,,,,,,
20,['verge'],['selling'],['grandmother'],"[""'s""]",['car'],['facebook'],['today'],['ejected'],['group'],['without'],['explanation\\u2026'],"[""''""]",,,,,,,,,,,
21,['lineup'],['grocery'],['store'],['today'],['covid19'],"[""''""]",,,,,,,,,,,,,,,,,
22,['good'],['day'],['everyone'],['first'],['thing'],"[""'ve""]",['watched'],['today'],['instantly'],['cheered'],['wan'],['na'],['show'],"[""y'\\u2026""]","[""''""]",,,,,,,,
23,['tomorrow'],['isn\\u2019t'],['promised'],['get'],['cheeks'],['clapped'],['today'],"[""''""]",,,,,,,,,,,,,,,
24,['governor'],['dewine'],['announced'],['today'],['ohio'],['schools'],['closed'],['extended'],['period'],['time'],['next'],['three'],['we\\u2026'],"[""''""]",,,,,,,,,
25,['stock'],['market'],['tomorrow'],['today'],,,,,,,,,,,,,,,,,,,
26,['nothing'],['wrong'],['putting'],['money'],['work'],['today'],,,,,,,,,,,,,,,,,
27,['best'],['time'],['guess'],['\\ud83e\\udd23\\ud83e\\udd8a\\n\\ntoday'],"[""'s""]",['update'],['brought'],['ever'],['awesome'],,,,,,,,,,,,,,
28,['gesture'],['drawing'],['today'],['used'],['porn'],['videos'],['screenshots'],['quite'],['fun'],['feel'],['like'],['learn\\u202'],,,,,,,,,,,
29,['tomorrow'],['isn\\u2019t'],['promised'],['get'],['cheeks'],['clapped'],['today'],"[""''""]",,,,,,,,,,,,,,,
30,['neko'],['wishes'],['happy'],['bihday'],['hopes'],['great'],['day'],['today'],['\\u2665\\ufe0f'],"[""''""]",,,,,,,,,,,,,
31,['must'],['watch'],['best'],['trump'],['ad'],['ever'],['\\ud83d\\udcfa\\n\\n\\'],"[""''""]",['fighter'],,,,,,,,,,,,,,
