,0
0,"['rt', 'orithegame', 'happy', 'launch', 'day', 'hope', 'enjoying', 'wotw', 'excited', 'playing', 'working', 'hard', 'resolve', 'issuesu2026']"
1,"['rt', 'valiantcomics', 'wonderful', 'samheughan', 'bloodshotud83dudd3youre', 'gon', 'na', 'enjoy']"
2,"['rt', 'foufa260dear', 'bts_twt', 'even', 'cant', 'see', 'us', 'cant', 'cheer', 'always', 'behind', 'back', 'enjoying', 'success']"
3,"['rt', 'lizkaerunga', 'lem', 'dedicate', 'u', 'mad', 'chune', 'azawiofficial', 'repeat', 'itud83dudd25enjoy', 'new', 'age', 'ud83eudd70u263aufe0fu263aufe0f']"
4,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
5,"['podcastparanoid', 'youre', 'welcome', 'enjoy', 'podcast']"
6,"['rt', 'sdequus', 'youu2019re', 'ok', 'putting', 'horse', 'risk', 'injury', 'enjoy', 'equestrian', 'sports']"
7,"['rt', 'steve_c197patriots', 'one', 'thing', 'enjoy', 'twitter', 'helping', 'people', 'love', 'watching', 'smaller', 'account', 'grow', 'grow', 'whiu2026']"
8,"['rt', 'mirendar', 'itu2019s', 'finally', 'video', 'donu2019t', 'sacrifice', 'burning', 'hole', 'proverbial', 'pocket', 'please', 'enjoy', 'clip', 'wu2026']"
9,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
10,"['rt', 'amberxo_bbw', 'like', 'pride', 'giving', 'respectfully', 'time', 'loversnni', 'truly', 'enjoy', 'getting', 'ku2026']"
11,"['might', 'fly', 'dublin', 'weekend', 'enjoy', 'properwhiskey', 'ifidieidie', 'wonderlust', 'countycork', 'irelandu202httpstcof4dwr1lyt1']"
12,"['rt', 'payhip', 'video', 'intro', 'competitionnnwe', 'really', 'enjoy', 'seeing', 'video', 'intros', 'making', 'want', 'morennto', 'enternnu202creu2026']"
13,"['rt', 'man_of_feelz', 'twitter', 'enjoy', 'last', 'jedi', 'rise', 'skywalker', 'httpstcokehpew8yzd']"
14,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
15,"['rt', 'flexutd', 'liverpool', 'greatest', 'team', 'ever', 'trying', 'tell', 'us', 'lol', 'ud83dude0just', 'stay', 'lane', 'enjoy', 'first', 'league', '3years', 'leavu2026']"
16,"['really', 'enjoy', 'reading', 'books', 'add', 'value', 'life']"
17,"['rt', 'mellyrockstil_dont_care', 'himesan_cosplay', 'men', 'enjoy', 'want', 'watch', 'content', 'woman', 'yall', 'incapable', 'valuing', 'wu2026']"
18,"['rt', 'wired', 'take', 'break', 'news', 'week', 'enjoy', 'gorgeous', 'selfportraits', 'northern', 'lights', 'photographer', 'tiinu2026']"
19,"['rt', 'prmaria', 'michaelkuluva', 'gusgusfrenchie', 'stay', 'well', 'enjoy', 'little', 'gus']"
20,"['rt', 'emilywillisxoxo', 'hi', 'enjoy', 'cute', 'set', 'pics', 'took', 'today', 'ud83dude1dnhttpstcopbw6ds3kfv', 'httpstcoa02xuocyma']"
21,"['stealth40k', 'cool', 'feel', 'opinions', 'well', 'thought', 'researched', 'enjoy', 'reading', 'insightsu202httpstco1jdq1bkn2w']"
22,"['rt', 'babygirl07_xx', 'u0e40u0e01u0e4au0e32u0e40u0e2du0e07u0e07u0e07u0e07u0e0u0e2bu0e27u0e31u0e07u0e27u0e48u0e32u0e17u0e38u0e01u0e04u0e19u0e08u0e30u0e0au0e37u0e48u0e19u0e0au0e2du0e1au0e01u0e31u0e19u0e19u0e30n', 'n', 'video', 'hope', 'enjoy', 'nnmodel', 'babygirl07_xx', 'nmaster', 'thbu2026']"
23,"['rt', 'zionalexiel', 'done', 'enjoy', 'httpstcoqguqestaki']"
24,"['yu2019all', 'enjoy', 'workschool', 'home']"
25,"['rt', 'yungscorpiho', 'yu2019all', 'mad', 'people', 'wanting', 'kids', 'young', 'u201cenjoy', 'theyu2019re', 'youthu201d', 'like', 'shut', 'depressed', 'bitchu2026']"
