0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
183,is,my,shit,'',,,,,,,,,,,,,,,,,,,,,
74,if,we,hit,33followers,by,the,end,of,this,week,,,,,,,,,,,,,,,
158,i,have,sanitized,my,hands,bout,10times,today,'',,,,,,,,,,,,,,,,
102,yeah,!,one,clicked,the,shit,out,of,this,!,'',,,,,,,,,,,,,,
119,witnessed,the,funniest,shit,at,mccguffey,market,today,\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude0,,,,,,,,,,,,,,,,
184,was,an,absolute,shit,day,online,and,excuse,my,diy,broken,camera,but,i,votes,for,bernie,and,it,felt,good\u202,,,,
188,it,i\u2019m,not,doing,shit,today,'',,,,,,,,,,,,,,,,,,
3,bruno,fernandes,lost,possession,3times,against,lask,tonight,.,creative,players,losing,the,ball,is,n't,news,,,,,,,,
131,looks,like,a,copy,of,these,secret,documents,was,sent,directly,to,the,democrat,wonder,democrats,in,politics,an\u2026,'',,,,,
8,for,all,the,crazy,shit,that,'s,gone,on,other,the,last,few,years,.,nothing,has,got,me,more,w\u202,,,,
79,oh,damn,!,\n\ny'know,for,movie,stars,,,,,,,,,,,,,,,,,,
17,matt,walsh,today,vs.,matt,walsh,two,weeks,may,already,be,too,late,to,undo,the,damage,caused,by,right,wing,health,mis\u2026,'',
96,witnessed,the,funniest,shit,at,mccguffey,market,today,\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude0,,,,,,,,,,,,,,,,
144,bone,in,my,body,is,screaming,to,make,today,a,cheat,day,'',,,,,,,,,,,,
193,witnessed,the,funniest,shit,at,mccguffey,market,today,\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude0,,,,,,,,,,,,,,,,
25,i\u2019m,so,tired,of,this,shit,today,'',,,,,,,,,,,,,,,,,
10,my,last,tweet,on,turkish,poet,ilhan,comak,(,my,piece,in,today,'s,guardan,linked,below,),neglected,to,say,this,:,for,once\u2026
133,witnessed,the,funniest,shit,at,mccguffey,market,today,\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude0,,,,,,,,,,,,,,,,
143,has,been,a,shit,show,'',,,,,,,,,,,,,,,,,,,
55,when,hube,is,made,dorothea,'s,adjutant-general,for,one,battle,and,dorothea,introduces,him,with,:,\,'',crew,,,,,,
